"isp_wan_id","public_ip"
10800,"121.244.134.118"
10831,"103.82.209.34"
10801,"14.143.2.10"
10812,"125.22.188.218"
10802,"47.247.145.18"
10813,"128.185.66.46"
10803,"122.187.118.6"
10814,"136.232.207.134"
10804,"47.247.165.78"
10815,"117.198.59.130"
10805,"103.151.157.234"
10816,"125.23.63.146"
10806,"128.185.38.66"
10817,"103.235.3.232"
10807,"14.140.166.187"
10818,"122.164.15.121"
10874,"14.143.147.114"
10893,"122.176.158.150"
10930,"14.142.18.94"
10950,"106.201.241.38"
10929,"182.78.97.18"
11319,"103.149.196.213"
11086,"49.36.67.177"
19970,"183.83.240.98"
11078,"125.23.27.122"
11193,"183.82.242.83"
11302,"125.20.135.162"
11303,"117.200.83.160"
11304,"152.52.106.206"
11305,"47.247.158.50"
11306,"103.106.100.82"
11307,"202.148.61.151"
11308,"103.103.213.93"
11311,"182.70.250.168"
11309,"125.23.51.86"
11310,"45.118.73.182"
11313,"182.66.123.42"
11314,"49.36.193.243"
11315,"203.134.205.175"
11316,"182.79.113.10"
11317,"14.142.11.98"
11318,"136.232.86.190"
11492,"125.19.245.141"
21300,"106.219.120.58"
21301,"119.82.90.221"
12702,"103.108.204.50"
12703,"10.85.253.246"
5596,"103.83.11.222"
9945,"139.167.238.202"
5601,"103.93.175.10"
10725,"14.142.193.242"
9944,"139.167.238.198"
10681,"103.83.9.148"
21309,"223.185.33.105"
21310,"116.73.132.158"
19429,"137.97.244.178"
19430,"103.194.70.36"
19445,"122.160.133.110"
19446,"14.140.207.58"
19447,"152.58.226.179"
19448,"203.132.138.166"
19493,"180.151.82.114"
19525,"106.219.123.235"
19522,"122.160.68.30"
20848,"14.142.248.194"
19455,"183.82.163.63"
19456,"103.121.115.71"
19523,"180.151.21.100"
20681,"180.151.14.130"
19458,"59.160.34.53"
19459,"59.160.34.221"
19553,"120.138.120.121"
20412,"122.187.219.206"
19490,"121.243.51.194"
19511,"183.82.123.163"
19512,"27.4.103.231"
19513,"117.254.37.237"
19532,"106.51.47.77"
22830,"125.19.231.70"
19740,"152.52.192.194"
19741,"192.168.1.104"
19563,"103.143.146.27"
20413,"182.78.158.78"
19768,"182.79.51.54"
19769,"103.131.93.15"
19770,"122.186.255.142"
19771,"122.176.27.73"
20415,"219.91.243.245"
20416,"106.201.234.181"
20472,"172.22.221.2"
20521,"122.186.165.138"
20522,"103.141.110.212"
21321,"103.159.47.102"
23406,"150.107.240.134"
20526,"49.37.36.95"
20527,"122.176.99.6"
20551,"122.175.42.55"
20552,"123.176.45.138"
20556,"103.144.64.247"
20557,"137.97.193.170"
20722,"103.82.208.141"
20723,"103.198.187.178"
20725,"103.122.15.12"
20726,"103.198.187.179"
20729,"103.122.15.13"
20730,"103.198.187.174"
20731,"103.198.187.177"
20732,"103.122.15.14"
22710,"122.179.159.213"
22711,"103.179.47.62"
23285,"183.82.122.204"
24188,"103.251.28.82"
25945,"136.232.88.62"
26011,"182.69.181.134"
26012,"122.186.66.10"
26013,"103.83.9.199"
26014,"14.141.134.130"
26020,"182.19.37.58"
26021,"14.195.37.114"
